"Site Name ","WLR113",,,
"Site Number ",103,,,
"Logger ","Capacitive Water Level",,,
"Logger Serial Number ",41697,,,
,,,,
,,,,
"Scan No ","Date and Time","       Capacitive Water Level","        ",
"        ","        ","RAW VALUE ","CALIBRATED VALUE",
,,,,
543,25/01/2016,08:05:00,"NA",25.51
544,25/01/2016,08:10:00,"NA",25.57
545,25/01/2016,08:15:00,"NA",25.57
546,25/01/2016,08:20:00,"NA",25.63
547,25/01/2016,08:25:00,"NA",25.63
548,25/01/2016,08:30:00,"NA",25.63
549,25/01/2016,08:35:00,"NA",25.63
550,25/01/2016,08:40:00,"NA",25.63
551,25/01/2016,08:45:00,"NA",25.63
552,25/01/2016,08:50:00,"NA",25.57
553,25/01/2016,08:55:00,"NA",25.51
554,25/01/2016,09:00:00,"NA",25.51
555,25/01/2016,09:05:00,"NA",25.45
556,25/01/2016,09:10:00,"NA",25.45
557,25/01/2016,09:15:00,"NA",25.45
558,25/01/2016,09:20:00,"NA",25.45
559,25/01/2016,09:25:00,"NA",25.45
560,25/01/2016,09:30:00,"NA",25.45
561,25/01/2016,09:35:00,"NA",25.45
